userName;content;rating;date;reviewVersion
FN MTL HD;Hankala ottaa käyttöön. Tökkii. EasyPark on paljon parempi.;1;2021-03-10;
Sten Örså;Rekisteröi puhelinnumerosi, anna nelinueroinen koodi. Miksi Parkman lähettää virheellisiä koodeja? Ei kiva.;2;2021-03-09;5.28
Carl Taylor;"Ei asennu, virheilmoitus: Jokin meni vikaan meidän päässämme, yritä uudelleen."" Olipa hyödyllinen ilmoitus! Uusi yritys, sama tulos. Android 6.";1;2021-03-09;
Timo Neuvonen;Pysäköinnin maksu toimii - ainakin toistaiseksi. En tiedä miksi sovellus on alkanut kinuta puhelinnumeron vahvistusta, mutta se EI toimi. Tekstari tulee, siitä koodin luku automaattisesti ei toimi. Manuaalisesti koodi syöttäen valittaa väärästä koodista. ~5 kerran jälkeen kyllästyin. Koodatkaa tuo toimivsksi ennen kuin sitä puhelinnumeroa on pakko johonkin käyttää.;3;2021-03-08;5.28
marko immonen;ei tee mitään;1;2021-03-04;
Bekim Behrami;todella hyvä ja yksinkertainen käyttää;5;2021-02-25;5.27
Jukka L;Ihan ok. Nyt vain joka avauksella haluaa puhelinnumeroa, jota ei tarvitse mihinkään. En halua antaa numeroa mainostarkoituksiin. Jos numeron kysely ei lopu, niin pitää lopettaa tän käyttö.;2;2021-02-20;5.27
Ruth Lehikoinen;Ajoittain bugii ja hukkaa kesken olleen pysäköinnin, pääosin kuitenkin toimiva;4;2021-02-19;5.27
Jari Paulo;Hyvin,toimii, iisi käyttää...;5;2021-02-16;5.27
Arto Kivistö;Hyvä sovellus.;4;2021-02-13;5.26
Markus Rantanen;Huono sovellus. Kerran päivässä uusi päivitys ja aika menee päivittelyyn autossa kun PITÄISI laittaa nopeasti parkkiaikaa. Nopeampaa jopa käteisellä maksaa automaattiin.;1;2021-02-11;5.27
Taesbil;Löytää hyvin parkkipaikat, eikä laskuta kuin oikeasti pysäköidystä ajasta. Helppokäyttöinen.;5;2021-02-02;5.26
Jorma Pöntinen;Toimii;4;2021-01-21;5.22
Ari Jussila;kätevä.;4;2021-01-20;5.23
Lauri Marttinen;Sovellus kaatuu kun yrittää aloittaa parkkeerausta.;1;2021-01-09;5.20
Juho Laine;Tekee minkä lupaa.;5;2021-01-04;5.19
Mika Kukkonen;Nyt päivityksen jälkeen uuden kortin lisääminen onnistui.;4;2020-12-31;5.19
Juha Kallio;mainio sovellus.;4;2020-12-29;5.16
Kukka Kukkalaaraa;Ei hyväksy yhtäkään kolmesta varmasti toimivasta kortista. Ei herätä luottamusta miten korttitietoja käsittelevät. Poistin.;1;2020-12-28;5.17
Ole Kinnunen;Yllättävän hyvä ja helppo. Nopeuttaa ja helpottaa asiointia kivijalkakaupoissa. Säästää myös pysäköintivirhemaksuissa 😷;5;2020-12-22;5.15
Terhi Ahonen;Helppo, selkeä, nopea ja edullinen;5;2020-12-15;4.94
Tuuli Kiviniemi;Minulla on sovellus ollut asennettuna muutaman vuode ja olen ollut tyytyväinen, mutta nyt tekstiviestiini tuli ilmoitus, että ette ole pystynyt veloittamaan tiliäni. Pankkikorttini voimassaolo päivitettiin kuun vaihteessa, mutta numero pysyi samana. Mikä on teidän ongelmanne? Yhteystiedoissa ollut puhelinnumero ei ole käytössä! Haluaisin käyttää Park mania jatkossakin, mutta miten saan yhteyden voidakseni selvittää pankkikorttiongelman? Tuuli Kiviniemi IJR-782;2;2020-12-02;5.12
Jukka Raulamo;Helppo ja nopea. Varmatoiminen. Pysäköinnin automaattinen lopetus on todella hyvä ominaisuus.;5;2020-11-30;5.11
Harri Heiskanen;Hyvin toimii;5;2020-11-24;5.11
Erkki Yrjänäinen;Tosi helppo 😄;5;2020-11-17;5.06
Nina Ekonoja;Helppo ja nopea;5;2020-11-14;5.10
Ilkka Melto;Very easy to use.;4;2020-11-13;5.10
Altezza AS300;päivityksen jälkeen sovellus kaatuu kun yrittää pysäköidä. hienoa 👍;1;2020-11-06;5.09
Teemu Nikkanen;Mahtava appi! 👍👍👍;5;2020-11-03;5.09
Ilkka Lindström;Putosi viiden tähden käyttökokemuksesta, kun mahdollisuu syöttää aikoja numeronäppäimillä katosi. Muuten priimaa. Ei ole ollut ongelmia ja simppeli UI.;4;2020-11-01;5.09
Stig Tenlenius;Kätevä;5;2020-10-30;5.09
Noora Sofi;On kätevä! Ei enää kolikoiden etsimistä ja parkkiautomaatilla ramppaamista👌🏼;5;2020-10-29;5.09
Jarmo Talvela;Helppo, nopea ja ajantasainen hinnoittelu;5;2020-10-23;5.08
Otto Itkonen;Toimii!;5;2020-10-23;5.08
Timo rauhaniemi;Voittaa kolikot 100-0;5;2020-10-22;
Katariina;Paras pysäköinti sovellus 👌;5;2020-10-21;5.08
Ilkka Lehtoranta;Lataaminen kesti niin kauan (4G) että maksoin käteisellä.;1;2020-10-16;
Riitta Xxx;Ihan paras. Helppo käyttää.;5;2020-10-16;5.08
Ulla-Mari Lindh;Todella kätevää pysäköintiä!;5;2020-10-14;5.07
Jani Lehtinen;Toimii;5;2020-10-14;5.08
marina muhonen;Joka kerta kun parkeroin johonkin maksulliseen paikan auton, ohjelma rupee päivittämään itseänsä uudestaan. Piti odottaa autossa, ennen kun se taas toimii. Mitä tämä oikein on? Se on jo toinen kerta kahden viikon aikana. Älytöntä. Just silloin kun on kova kiire.;2;2020-10-13;5.07
Juha Haatainen;Toimii todella hyvin. Jopa voisin ssnoa että easy parkkia parempi. Kevyempi ainaki. Suosittelen;5;2020-10-13;5.07
Tuomas;"Hyvin on toiminut itsellä, mutta joskus aiheuttaa ärsytystä kun parkkiaikaa pyörittäessä aika hyppää takaisin Max pysäköinti aikaan jos pysäköinti aika ylittyy sovelluksen mukaan. Tämän ""ominaisuusuuden"" voisi poistaa tai edes muuttaa.";3;2020-10-12;5.07
Eerika Hietamies;Hyvä ja helposti käytettävä sovellus!;5;2020-10-07;5.08
Rainer Visa;Usein ei lataudu;3;2020-10-06;5.07
Osmo Kalmari;Helppo käyttää!;5;2020-10-02;5.06
Mikko Loikkanen;Viimeisin päivitys teki sovelluksesta käyttökelvottoman, jää jumiin sijainnin etsimiseen..;1;2020-10-01;5.07
Aksu;Tosta jollekkin koodia jolla saa 10€ pysäköintirahaa. ATA5ZU;3;2020-10-01;5.07
Jari Hämäläinen;Enää ei avaa koko sovellusta laisinkaan. Aiemmin toimi moitteettomasti. Eipä enää.;1;2020-09-29;5.07
Tuuli Alander;Muuten ihan jees mutta promo koodit ei toimi vaikka miten päin koittaa js kuvataan ilmaisia parkkeja. ihme kusetusta.;3;2020-09-25;5.06
Jouni Leskinen;Tunnistaa hyvin alueen. Puhelimen vaihto hiukan hämmensi, mutta taas mennään.;4;2020-09-24;
Riikka Kontturi;Meidän alueella toimii hyvin.;5;2020-09-22;5.06
Anne Kantola;Helppo ja näppärä;5;2020-09-14;5.06
Edward Nikkilä;Helppo ja toimiva;5;2020-09-14;5.06
Yrjö Hartikka;Sovellus Katkaisee itse parkin;1;2020-09-02;5.06
Altti;Puhelinnumeron vahvistus on täysin rikki. Koodi tulee tekstiviestillä kuten pitääkin, mutta tarkistus on sitä mieltä, että koodi on väärä. Miten koodi voi olla väärä, jos se juuri tuli viestillä? Kokeilin useamman kerran, mutta ongelma toistui joka kerta.;2;2020-08-17;5.06
Toni Vainikka;Onko mahdollisesti tulossa Huawei appgallery puhelimille jossain vaiheessa?;5;2020-08-14;5.06
Fred Rosbäck;Helppo!!;5;2020-08-14;5.06
Petri Peippo;👍;4;2020-08-13;5.06
Leena Palmu-Aalto;Helppo ja selkeä.;5;2020-08-12;5.06
Kalle Lahtinen;Saat 10e pysäköintirahaa koodilla: UTQN Hyvä ja näppärä pysäköintisovellus.;5;2020-08-12;
Henna-Maaria Linkopuu;Ei lataa;1;2020-08-10;
Anne Sairanen;Helppo ja mukava käyttää;5;2020-08-04;5.06
Hanne Muurinen;Sovellus on toiminut aina moitteetta, on helppo käyttää, muutokset auton rekkariin tai kortin tietoihin on helppo tehdä ja kuukausittainen kuitti sähköpostiin on hyvä juttu. Lähinnä ärsyttää, ettei PM toimi/käy kaikkialla/joka parkissa kaupungissani ja tämän vuoksi on tullut napattua pari parkkisakkoa.;4;2020-08-01;5.06
Joni Kemppainen;"Latasin tämän vain ilmaisen linnanmäen parkin takia, mikä oli parkkimaksutolppaan mainoksena kiinnitetty. Lunastin tämän ""ilmaisen parkin"" ja kuukauden päästä tuleekin tekstiviestiä että parkki on jäänyt maksamatta. Nyt sitten pitäisi maksaa 15e ilmaisesta pysäköinnistä. Ihan naurettavaa";1;2020-08-01;5.06
Aleksi Konttinen;Muuten ei mitään vikaa mutta nyt jostain syystä alareunan palkki jää puhelimen omien näppäinten alle joten parkkeeraus ja sen lopetus on hieman työlästä. Puhelin siis Huawei P30 Lite, Android 10.;4;2020-07-25;5.06
Martti Myllyntaus;Paras parkkisovellus.;5;2020-07-18;5.06
lauri nyholm;Ei hyväksynyt heidän lähettämää aktivointikoodia. Poistin appin ja jatkoin easy parkin käyttöä.;1;2020-07-17;5.06
Marko Kakkori;👍;4;2020-07-15;5.06
Hannu Soronen;Hyväksy nappi (vihreä) menee päällekkäin Huawein (P20pro) ESC näppäimen kanssa.;3;2020-07-15;5.06
Paka Helkesalo;Tämäkin löytyy luuristani ja erittäin helppo käyttää.;5;2020-07-14;5.06
Velipekka Jaakonsaari;Pitäiskö kehittää sen verran sovellusta, et automaattisesti katkaisee pysäköinti maksun kun lähtee parkista.;1;2020-07-11;5.06
Jarmo K;Goog;5;2020-07-10;5.00
Arto Lemmetyinen;Kurapaskaa, kysyy korttinumeroa eikä päästä siitä eteenpäin.;2;2020-07-07;
Jukka Mäkilä;Tominii aina;5;2020-06-25;5.05
Mikko Suomela;Hyvin toimii!;5;2020-06-25;5.05
ULLA LOJANDER;Hyvä ja edullinen kiitos. Iloista kesää!;4;2020-06-23;5.05
Minna Eloranta;Toimii niinkuin pitääkin;5;2020-06-23;5.05
Pasi Perkiö;Toimii kuin junan vessa.;5;2020-06-22;5.05
Reeta Aula;Käyttöönoton piti olla nopeaa ja helppoa. Sovellus ei edes kysynyt auton rekisterinumeroa vaan ilmoitti, että kaiken piti olla kunnossa. Lopputuloksena parkkisakot maksetun parkkimaksun lisäksi. Välittäminen kuitin kanssa ei auttanut, ei, auttanut vaikka parkkeeraus GPS oli oikealla paikalla. Neveragain;1;2020-06-19;5.05
Jyrki Määttä;Toimii just niinko pitääkin!;5;2020-06-16;5.05
Koivis II;Joskus epäilyttävän vaikeasti latautuu kun pitäisi lopettaa pysäköinti, vrt kuinka helppo se on aloittaa.. voi vaikuttaa sekin että useimmiten puhelimeni on ollut suljettuna pysäköintien aikana. Ylim. virhemaksuja ei ainakaan ole tullut;3;2020-06-16;4.94
Margarita Kataja;En ole käyttänyt ja päivittänyt sovellusta pitkään. Nyt kun sain sen vihdoinkin päivitettyä, se ei suostunut käynnistymään. Aina kun yritän avata sovelluksen, näytölle ilmestyy pyörivä logo, joka jää pyörimään eikä mikään mene sen pidemmälle. Nettiyhteys on hyvä, joten ongelma ei ole siinä... Yritin myös ladata sovelluksen uudestaan, mutta sekään ei auttanut.;1;2020-06-13;
Tarja Haukkasalo;Ei toiminut, kysyi pin koodin aina uudestaan;1;2020-06-13;
Milja Hahto;Toimiessaan loistava. Vaan nyt tuo pyörittää vain logoa loputtomiin, kun yrittää käynnistää.;3;2020-05-29;5.01
Mikko Kiilunen;Kehno;1;2020-05-29;
Maicol X777;Kadulle pysäköinti ei onnistunut!;1;2020-05-28;5.05
KariMatti Nalli;Loistava systeemi!;5;2020-05-22;5.00
Harri Montonen;"Ei edes kirjautumaan pääse kun ""koodi on väärä"", poistin koko paskan..";1;2020-05-14;
Sanna Rintakoski;Kätevä, toiminut ongelmitta ja nopea käyttää;5;2020-05-13;5.04
Hannele Varhee;Ei toimi kaikkialla yksityis alueilla.;4;2020-05-11;
Tero Nordman;hemmetin hieno viimesin päivitys. parkmanin logo pyörii näytössä, mutta mitää muuta ei tapahdukkaan;1;2020-05-09;5.04
Jukka Rissanen;ParkMan ei toimi vaan valittaa ettei pankkini maksa sille ! Ei ole minun vikani ettei yhteytenne toimi vuosien jälkeen.;1;2020-05-05;
Anita Ryhänen;Todella kätevä.;5;2020-04-28;5.02
Laila Kekonen;Tosi kätevä;5;2020-04-28;5.02
sonja dietrich;Miksi en saa aloitus näyttöön ParkMan ikonia;3;2020-04-27;5.02
Antti Pyykkönen;Kyllä se on edelleen OK. Korona-aikana löytyy tilaa...;4;2020-04-24;5.02
Sami Lehtinen;Hyvä ja helppo käyttöinen;5;2020-04-17;5.01
Mikko Ryhänen;Toiminut ihan hyvin välillä ongelmia ollut paikannuksessa mutta pärjännyt kuitenkin ihan hyvin.;5;2020-04-15;5.01
Sirkku Pietilä;Käytössä laajasti. Toimii hyvin.;5;2020-04-15;5.01
Sirkku Maksimainen;Helppo ja toimiva ratkaisu kaupungissa😊;5;2020-04-09;5.01
Markku Lehesvuo;Hyvä ja helppokäyttöinen;5;2020-04-09;4.94
Laura Jetten;Sovellus vaikutti aluksi hyvältä: ei tarvitse rampata ulkona lisäämään parkkiaikaa ja pysäköinnin voi lopettaa aikaisemmin jos haluaa. MUTTA sovellus ottaa rahaa paljon enemmän kuin alueen parkkimittari!! Esim. parkkimittarissa 2 ja puoli tuntia on 5€, mutta Parkman ottaa 6,60€! Tällä saisi jo melkein tunnin lisäaikaa parkkimittarista!;1;2020-04-01;5.00
Pasi Vuorinen;Uusin päivitys rikkoi jotain. Ei voi käyttää enää ilman wifi sijaintitietoja ja ei koskaan ilmoita että maksu jää päälle jos lähdet parkista.;5;2020-03-31;5.01
Ari Kinnunen;vähän sekava käyttää;3;2020-03-13;
Tuomas Räikkönen;Ei toimi ellei ole valinnaista tarjouskoodia;1;2020-03-12;4.94
Anne Hytönen;Toimii hyvin, myös pysäköinninvalvojat suosittelivat tätä.;5;2020-03-12;4.94
Pia Vilén;Helppoo ku heinän teko! Kaikki sujuu ku rasvattu😄;5;2020-03-10;4.94
Jussi Mäkinen;T6CB koodilla 10€ ilmaista parkkirahaa;5;2020-03-10;4.94
Kikka Nilsson;Helppo käyttää, hyvä asiakaspalvelu;5;2020-03-06;4.94
Olli Vihma;Hyvä, helppo ja toimiva.;5;2020-03-05;4.94
Arto Melaranta;Loistava ja paras täällä toimivista;5;2020-03-05;4.94
Antti Repo;Homma toimii ja on helppo!;5;2020-03-04;4.94
Ari Markkanen;Ihan jees;5;2020-03-03;4.94
jemina jämiäluoma;Helppo käyttöinen ja pystyy nykyään ilman erillistä parkman tarraa käyttämään. Käytä koodiani MNEYB1, niin saat 10.00 € alennuksen ensimmäisestä pysäköinnistäsi;5;2020-03-01;4.94
Timo Luukka;Helppo käyttää.;5;2020-02-29;4.94
Juho Rajamäki;Vähän temppuilua, kun appi kadotti jotenkin tai ei näyttänyt, että pysäköinti on päällä.;3;2020-02-28;4.94
TM;25.2. päivitys kyykkäsi sovelluksen Honor 8:ssa, ei toimi enää... Onneksi kilpailijan toimii, en jäänyt odottelemaan mitä seuraavaksi tapahtuu.;1;2020-02-26;5.00
Reijo Tuominen;Toimii hyvin!;5;2020-02-26;4.94
Jarkko Tuovinen;Sovellus herjaa, että rekisteritunnus virheellinen, eikä siis anna lisätä autoa. Edit: Kun nyt aukaisin sovelluksen uudestaan, löytyi kadonnut autokin. Toimii siis taas mainiosti, lienee ollut vain häiriö.;5;2020-02-25;4.94
Jani K;Hyvä. Käytä koodia ZRB1 niin saat 10e ilmaista pysäköintiä.;5;2020-02-23;4.94
Niilo Partanen;Minulla ei toimi;1;2020-02-20;4.94
Ville Ruti;Loisto sovellus! Koodilla PAGQP4 saat 10€ edestä ilmaista parkkirahaa.;5;2020-02-14;4.94
Eija Ojanperä;Hyvä sovellus. Tällä etukoodilla sinulle ilmaista pysäköintiaikaa 10 euroa, 41A45L. Syötä kampanjakoodi, kun rekisteröidyt.;4;2020-02-11;4.94
Jouko Ahonen;Toimii, voi olla tyytyväinen.;4;2020-02-06;4.94
Henry Pehkonen;Hyvä ja helppo käyttää;5;2020-02-06;4.94
Reino Pättiniemi;Selkeä ja helppo käyttää. Laskutus selvä ja informatiivinen.;5;2020-02-04;4.94
Marko Virta;Hieno fiilis, kun saa ilmaiseksi parkkeerata;5;2020-01-28;4.94
Iiro Huhanantti;Todella helppokäyttöinen.;5;2020-01-27;4.94
Harri Schabarin;Kätevä;5;2020-01-27;4.94
Agim Packa;Loistavaa;5;2020-01-25;4.94
Marjo Tapojärvi;pitää muistaa vahvistaa, muuten loistava;4;2020-01-18;4.94
Riitta Haapaniemi;Helppokäyttöinen;5;2020-01-17;4.94
Pia Kauppinen;Toimii todella hyvin ja erittäin tyytyväinen olen kuukausilaskutukseen. Asiakaspalvelu on hyvää!;5;2020-01-17;4.94
Laura Suhonen;Helppo ja kätevä. Tällä etukoodilla HL5ZAX saa vielä 10€ ilmaista parkkiaikaakin, mikäs sen parempaa😄;5;2020-01-16;4.94
Sanna W;Helppo;4;2020-01-13;4.92
Tero Puumalainen;Helppo ja nopea käyttöönotto. Pysäköintiaikaa saa muutettua helposti tarvittaessa, toimii! Tuolla kampanjakoodilla vielä 10€ ilmaista pysäköintiaikaa: 3WUD6Q;5;2020-01-10;4.94
Joni Kauppila;Loistavasti toimiva sovellus! Koodilla MB2XUC 10€ ilmaista pysäköimisrahaa. ✌️;5;2019-12-29;4.94
Seppo Ripatti;Hyvä;5;2019-12-21;4.90
Jedicat94;Iha jees;3;2019-12-21;4.94
jussuf33;Ihan jees. Sijainti ei aina löydy;4;2019-12-19;4.91
marja-riitta Laatikainen;Kätevä;4;2019-12-17;4.87
Pekka Riipinen;Ei toimi kuten pitäisi.;1;2019-12-12;4.92
Teijo Junnola;Todella nopea ja käytännöllinen;5;2019-12-10;
Eero Roni;Helppoa ja nopeaa;5;2019-12-10;4.91
Midmanic m;Hyvä ja toimiva. Helpottaa pysäköintiä huomattavasti.;5;2019-12-07;4.91
Reino Vilppola;Toimii hyvin!;4;2019-12-04;4.91
Tauno Väisänen;Toimii Kuopiossa hyvin;4;2019-12-03;4.91
Sami Koivunen;Toimii mainiosti, helppo käyttää. Kampanjakoodilla E1571E 10€ ilmaista pysäköintiä.;5;2019-12-01;4.91
Jouni Winberg;Toimii hyvin.;5;2019-11-30;4.91
Risto Anttonen;Aikaa ei näy eikä tule muistutusta;1;2019-11-29;4.91
Jaakko Korkonen;Ei tartte kastua räntäsatehes💪;5;2019-11-28;4.91
Jorma Virtanen;Hyvä;5;2019-11-26;4.91
Markku Vainio;Parempi kuin EasyPark..;5;2019-11-26;4.91
Jouni Saari;Helppo käyttää.;4;2019-11-25;4.91
Petri Räsänen;Hienosti toimii 👍;5;2019-11-24;4.91
Jaana Pösö;Helppoja nopea;5;2019-11-23;4.86
Pasi Pajunen;👍;5;2019-11-20;4.91
Villematti Schultz;Helppokäyttöinen, eikä suhteettoman kallis satunnaiskäytössä.;5;2019-11-20;4.91
Mari Wallenius;4AUA6F ilmaista parkkiaikaa;5;2019-11-19;4.91
Kirsi Torikka;Helppo käyttää;4;2019-11-17;4.91
Caffeepup;Toimiva ja helppo käyttöinen sovellus.;5;2019-11-15;4.91
Pyhatar85;Helppo käyttää!;4;2019-11-13;4.90
Eero Kurru;20€ ilmainen pysäköinti kampanjakoodilla 5ABZ;5;2019-11-12;4.88
Mika Siirtola;En saanut easyparkia toimimaan niin kokeilin tätä ja hyvin pelaa. Tästä vielä 10 € alennus ensimmäisestä pysäköinnistäsi: M5PXB9;5;2019-11-12;4.91
Tomi H;Toimii kuin junan vessa. Ok!;5;2019-11-11;4.91
