ind,userName,content,rating,date,reviewVersion,compound,sentiment 
74,Terhi Ahonen,easy clear fast affordable,5,2020-12-15,4.94,0.6705,positive
75,Tuuli Kiviniemi,app installed beds happy text message said able charge account validity debit card updated turn month number remained problem phone number contacts use would like continue using park mania get touch resolve debit card issue tuuli kiviniemi ijr782,2,2020-12-02,5.12,0.7907,positive
76,Jukka Raulamo,easy fast reliable automatic parking termination really good feature,5,2020-11-30,5.11,0.7264,positive
78,Erkki Yrjänäinen,really easy,5,2020-11-17,5.06,0.839,positive
79,Nina Ekonoja,easy fast,5,2020-11-14,5.10,0.4404,neutral
80,Ilkka Melto,easy use,4,2020-11-13,5.10,0.4927,neutral
82,Teemu Nikkanen,awesome help,5,2020-11-03,5.09,0.7959,positive
86,Jarmo Talvela,easy fast uptodate pricing,5,2020-10-23,5.08,0.4404,neutral
91,Riitta Xxx,best easy use,5,2020-10-16,5.08,0.7964,positive
95,Juha Haatainen,works really well even could ssnoa easy park better lighter least recommend,5,2020-10-13,5.07,0.8655,positive
97,Eerika Hietamies,good easy use app,5,2020-10-07,5.08,0.7263,positive
99,Osmo Kalmari,easy use,5,2020-10-02,5.06,0.4926,neutral
101,Aksu,pick someone code get 10 parking money ata5zu,3,2020-10-01,5.07,0.0,neutral
102,Jari Hämäläinen,longer opens entire application past worked flawlessly anymore,1,2020-09-29,5.07,-0.1027,neutral
103,Tuuli Alander,way jees promo codes dont work matter try js described free parks miracle urination,3,2020-09-25,5.06,0.8941,positive
104,Jouni Leskinen,recognizes area well changing phone bit confusing lets go,4,2020-09-24,,0.0258,neutral
105,Riikka Kontturi,area works well,5,2020-09-22,5.06,0.2732,neutral
106,Anne Kantola,easy handy,5,2020-09-14,5.06,0.4404,neutral
107,Edward Nikkilä,easy functional,5,2020-09-14,5.06,0.4404,neutral
111,Fred Rosbäck,easy,5,2020-08-14,5.06,0.5399,positive
113,Leena Palmu-Aalto,easy clear,5,2020-08-12,5.06,0.6705,positive
114,Kalle Lahtinen,get 10e parking money code utqn good handy parking app,5,2020-08-12,,0.4404,neutral
116,Anne Sairanen,easy comfortable use,5,2020-08-04,5.06,0.7351,positive
117,Hanne Muurinen,app always worked flawlessly easy use changes car truck card information easy make monthly receipt email good thing mainly annoying pm doesnt work goes everywhere every park city come couple parking fines,4,2020-08-01,5.06,0.7783,positive
118,Joni Kemppainen,downloaded free linnanmäki park attached parking pole advertisement redeemed free park month text message park paid pay 15e free parking pretty ridiculous,1,2020-08-01,5.06,0.9197,positive
121,lauri nyholm,accept activation code sent removed app continued use easy park,1,2020-07-17,5.06,0.1818,neutral
124,Paka Helkesalo,found handset easy use,5,2020-07-14,5.06,0.4927,neutral
127,Arto Lemmetyinen,kurapaska ask card number dont get ahead,2,2020-07-07,,0.0772,neutral
130,ULLA LOJANDER,good affordable thank happy summer,4,2020-06-23,5.05,0.8553,positive
132,Pasi Perkiö,works like train toilet,5,2020-06-22,5.05,0.3612,neutral
133,Reeta Aula,deployment supposed quick easy app didnt even ask cars registration number reported everything order end result parking fines addition paid parking fee forwarding receipt didnt help helped even parking gps right place neveragain,1,2020-06-19,5.05,0.6858,positive
135,Koivis II,sometimes suspiciously difficult charge stop parking compare easy start also seem time phone closed parking ylim least error charges come,3,2020-06-16,4.94,-0.1098,neutral
136,Margarita Kataja,havent used updated app long time finally got updated refused boot every time try open app rotating logo appears screen stays rotating nothing goes beyond internet connection good problem isnt also tried download app didnt help either,1,2020-06-13,,-0.5463,negative
143,Sanna Rintakoski,convenient smooth fast use,5,2020-05-13,5.04,0.0,neutral
144,Hannele Varhee,work private areas,4,2020-05-11,,0.0,neutral
149,sonja dietrich,dont get start screen parkman icon,3,2020-04-27,5.02,0.0,neutral
151,Sami Lehtinen,good easy use,5,2020-04-17,5.01,0.7003,positive
154,Sirkku Maksimainen,easy functional solution city,5,2020-04-09,5.01,0.8807,positive
155,Markku Lehesvuo,good easy use,5,2020-04-09,4.94,0.7003,positive
156,Laura Jetten,app seemed good first need ramp outside increase parking time parking stopped earlier wish app takes lot money area parking meter example parking meter 2 half hours 5 parkman takes 660 would give almost hour extra time parking meter,1,2020-04-01,5.00,0.5526,positive
161,Pia Vilén,easy make hay everything goes smoothly,5,2020-03-10,4.94,0.4926,neutral
162,Jussi Mäkinen,10 free parking money t6cb code,5,2020-03-10,4.94,0.5106,positive
163,Kikka Nilsson,easy use good customer service,5,2020-03-06,4.94,0.7003,positive
164,Olli Vihma,good easy going functional,5,2020-03-05,4.94,0.7003,positive
166,Antti Repo,works easy,5,2020-03-04,4.94,0.4926,neutral
167,Ari Markkanen,pretty good,5,2020-03-03,4.94,0.7269,positive
168,jemina jämiäluoma,easy use used today without separate parkma sticker use code mneyb1 get 1000 discount first parking,5,2020-03-01,4.94,0.4404,neutral
169,Timo Luukka,easy use,5,2020-02-29,4.94,0.4404,neutral
171,TM,252 update squatted app honor 8 longer works luckily competitor work couldnt wait see happens next,1,2020-02-26,5.00,0.6486,positive
174,Jani K,good use code zrb1 get 10e free parking,5,2020-02-23,4.94,0.7351,positive
176,Ville Ruti,great app code pagqp4 get 10 free parking money front,5,2020-02-14,4.94,0.8268,positive
177,Eija Ojanperä,good app precode get free parking 10 euros 41a45l enter promotional code sign,4,2020-02-11,4.94,0.7351,positive
179,Henry Pehkonen,good easy use,5,2020-02-06,4.94,0.7003,positive
180,Reino Pättiniemi,clear easy use billing clear informative,5,2020-02-04,4.94,0.7964,positive
181,Marko Virta,great feeling get free parking,5,2020-01-28,4.94,0.836,positive
182,Iiro Huhanantti,really easy use,5,2020-01-27,4.94,0.4927,neutral
186,Riitta Haapaniemi,easy use,5,2020-01-17,4.94,0.4404,neutral
187,Pia Kauppinen,works really well happy monthly billing customer service good,5,2020-01-17,4.94,0.8617,positive
188,Laura Suhonen,easy convenient precode hl5zax get another 10 free parking time better,5,2020-01-16,4.94,0.9274,positive
189,Sanna W,easy,4,2020-01-13,4.92,0.4404,neutral
190,Tero Puumalainen,easy fast installation parking time easily changed necessary works promotional code another 10 free parking time 3wud6q,5,2020-01-10,4.94,0.8356,positive
191,Joni Kauppila,great app code mb2xuc 10 free parking money,5,2019-12-29,4.94,0.8268,positive
192,Seppo Ripatti,good,5,2019-12-21,4.90,0.4404,neutral
194,jussuf33,pretty good location always found,4,2019-12-19,4.91,0.7269,positive
197,Teijo Junnola,really fast practical,5,2019-12-10,,0.0,neutral
198,Eero Roni,easy fast,5,2019-12-10,4.91,0.4404,neutral
199,Midmanic m,good functional makes parking much easier,5,2019-12-07,4.91,0.6908,positive
202,Sami Koivunen,works great easy use promotional code e1571e 10 free parking,5,2019-12-01,4.91,0.8834,positive
205,Jaakko Korkonen,get wet sleet,5,2019-11-28,4.91,0.0,neutral
206,Jorma Virtanen,good,5,2019-11-26,4.91,0.4404,neutral
207,Markku Vainio,better easypark,5,2019-11-26,4.91,0.4404,neutral
208,Jouni Saari,easy use,4,2019-11-25,4.91,0.4404,neutral
210,Jaana Pösö,easy fast,5,2019-11-23,4.86,0.4404,neutral
212,Villematti Schultz,easy use disproportionately expensive occasional use,5,2019-11-20,4.91,0.4404,neutral
213,Mari Wallenius,4aua6f free parking time,5,2019-11-19,4.91,0.5106,positive
214,Kirsi Torikka,easy use,4,2019-11-17,4.91,0.4404,neutral
216,Pyhatar85,easy use,4,2019-11-13,4.90,0.4926,neutral
217,Eero Kurru,20 free parking promotional code 5abz,5,2019-11-12,4.88,0.5106,positive
218,Mika Siirtola,didnt get easypark work tried plays well heres another 10 discount first parking m5pxb9,5,2019-11-12,4.91,0.4767,neutral
219,Tomi H,works like train toilet alright,5,2019-11-11,4.91,0.5848,positive
220,Laura Lehtismäki,switched easypark parkman prices works without problems code a9je25 get 10 free parking time,5,2019-11-09,4.90,0.8204,positive
221,Sandoza Nosslo,registering use code 7p67ws get free parking 10e application worked well made everyday life easier,5,2019-11-09,4.91,0.8172,positive
222,Markku Väisänen,great help grab cabin automatic machine,5,2019-11-04,4.89,0.9175,positive
224,nakki79,works easy use parking damn expensive helsinki,4,2019-10-29,4.89,-0.3818,neutral
226,Lingnoi Coc,3hsaup get 10 free parking,5,2019-10-29,4.89,0.5106,positive
227,Kirsti Laukkanen,great easy going best,5,2019-10-29,4.86,0.9289,positive
228,Eero Turunen,works well get 10 euro discount first parking code 7nanbe,2,2019-10-29,4.89,0.2732,neutral
229,Jari Nieminen,times needed worked well much easier old systems useful,5,2019-10-24,4.88,0.7783,positive
232,Annika Mäkelä,convenient help coins pay need,5,2019-10-19,4.88,0.0258,neutral
233,Kauno Riihonen,finds great location zone quick use easy pay set default time change later,3,2019-10-18,4.87,0.765,positive
234,Esa Salo,good comprehensive,5,2019-10-18,4.88,0.5994,positive
236,Pertti Urponen,easy use,5,2019-10-16,4.88,0.4927,neutral
238,Casper,easy use good complaints,5,2019-10-14,4.87,0.794,positive
239,Googlen käyttäjä,usability could better visit car parks joensuu example,3,2019-10-12,4.87,0.4404,neutral
241,Outi Mäkelä,works really sure instructions clear screen everything need available unnecessary addons content outi,5,2019-10-10,,0.5057,positive
243,Jouko Hongisto,easy use,5,2019-10-04,4.87,0.4404,neutral
246,Joni Mononen,nvp9g5 code 10e parking money convenient application sure parking time time increased remotely needed easytouse application even kind firsttimer hooked little doubt whether whole thing would work everything easy,4,2019-10-01,4.87,0.678,positive
248,jan sor,9tcb code get balance 10 functional easy use application,5,2019-09-25,4.87,0.6174,positive
249,Raija Komppa,inexpensive easy,5,2019-09-24,4.85,0.4404,neutral
251,Henri Luhtamaa,great app grab free 10 parking code 78ex1f,5,2019-09-23,4.87,0.8507,positive
252,Kia Kavetvuo,rarely come across userfriendly application great thing app also recognizes puck slots well free times,5,2019-09-20,4.87,0.8687,positive
254,Arja Marin,top easy,5,2019-09-16,4.87,0.5719,positive
255,Petri Liikari,really good app,5,2019-09-16,4.87,0.54,positive
256,Sami Kasari,good easy,5,2019-09-15,4.86,0.7003,positive
257,Mika Salminen,good code y28a4v get 10 euros free parking time suggest everyone,5,2019-09-14,4.87,0.811,positive
258,Sari Turunen,easy effortless application recommend,5,2019-09-13,4.85,0.6597,positive
263,Lauri Kara,easy use however would improvement accuracy app accepted payment venue addition fines reported,3,2019-09-07,4.86,0.1779,neutral
264,Hanna Viitasaari,playful easy use,5,2019-09-07,4.86,0.7474,positive
265,Mauri Lindholm,excellent easy fast use,5,2019-09-05,4.86,0.784,positive
270,moraali jorma,works easy use code y2xx get 10e free parking time front,5,2019-08-29,4.85,0.7351,positive
272,J J Lehti,good good,5,2019-08-27,4.85,0.7003,positive
273,Jani Kauppila,excellent wellfunctioning easytouse application use code rl9w register still receive 10 free parking time addition everything else,5,2019-08-26,4.85,0.7906,positive
274,Jyrki Laakso,easy fast use,5,2019-08-24,4.85,0.4404,neutral
276,Marika Nordström,good appi,5,2019-08-22,4.84,0.4404,neutral
277,Veli-Matti Lund,good,5,2019-08-22,4.84,0.4404,neutral
278,Kaisa Raninen,easy always worked save parking fees,5,2019-08-22,4.84,0.7269,positive
280,Päivi Leminen,works easy use big monthly sp report,4,2019-08-19,4.82,0.4404,neutral
282,Rauno Savenius,good functional software never cheated settings correct,5,2019-08-13,4.84,0.4217,neutral
283,Sirkkaliisa Cavonius,good thing,4,2019-08-12,4.78,0.4404,neutral
284,Helena Tamminen,awkward answers questions didnt get needed help however long adventure world android got parking work however note car printed mobile phone hotel,2,2019-08-12,4.84,0.2957,neutral
285,Sami Viitanen,downloaded easypark didnt work reason working app quick deployment recommend even promotional code x6jm 10e discount parking,5,2019-08-09,4.84,0.4199,neutral
286,Jari,works well easy use,5,2019-08-08,4.84,0.6124,positive
287,Anna-Riitta Korhonen,easy way park without coins expanded fine,5,2019-08-08,4.84,0.5719,positive
289,Fouad Ibrahim,sees example parking costs 150 parking runs costs,1,2019-08-08,4.84,0.0,neutral
291,Jalmari Lähevirta,easy fast clear application requires required permissions unlike competing application registering using code p1yv get one free parking downside program comes exhaustion easy access private business account else cant find,4,2019-08-04,4.84,0.802,positive
297,Googlen käyttäjä,worked least helsinki hard estimate much time need tan saved money app code ys84 get 10 discount first parking,5,2019-07-18,4.82,0.3976,neutral
299,Chris Tregubåv,problems easily get paid parking without digging coins code m1ju could change 10 free parking,5,2019-07-18,4.82,0.7881,positive
300,Silja Rautanen,clear easy use,5,2019-07-17,4.82,0.6705,positive
302,Henri Mansala,need look full time car park automatic customer service really good know help whenever little something trouble really easy use,5,2019-07-17,4.82,0.6667,positive
303,Esa Hakulinen,good easy fast,5,2019-07-15,4.82,0.7003,positive
304,Mika Vauhkonen,bad doesnt stop leave p area remember stop,2,2019-07-13,4.77,-0.6121,negative
305,Pipsa Kopra,easy good,5,2019-07-11,4.8,0.7003,positive
306,Jari Lilja,easy functional free parking worth 10 rtjlbv code,5,2019-07-10,4.82,0.7964,positive
308,Maarit Grönlund,easy haymaking code 2rncrh get 10 euro discount,5,2019-07-07,4.82,0.4404,neutral
309,Ville Vuorinen,easy use,5,2019-07-05,4.82,0.4926,neutral
310,Mikko Helle,functional easy application,5,2019-07-03,4.82,0.6597,positive
312,Googlen käyttäjä,functional convenient application code a4cb 10 free parking time,5,2019-07-03,4.82,0.5106,positive
314,Siina Kinnunen,convenient fast functional bad thing say,5,2019-07-01,4.82,0.431,neutral
318,Olli P.,definitely best parking app works well need dig coins code 1n6rh8 get 10 free parking money,5,2019-06-28,4.82,0.8779,positive
321,Saara Romppanen,works well code qwfnyt 10 free parking money,5,2019-06-21,4.82,0.8893,positive
323,AriSaa Pirkkala,easy use,5,2019-06-18,4.82,0.4404,neutral
325,Henkka Jokunen,easy,5,2019-06-18,4.82,0.4404,neutral
326,Ritva Haakana,good app downside dont always remember stop parking way much parking fee,4,2019-06-17,4.82,0.6908,positive
327,jerry hietanen,easy use deploy unlike easy park registration advanced,5,2019-06-17,4.82,0.796,positive
329,Jorma Lehtola,easy park lower parking fee charge parking time,5,2019-06-12,4.82,0.1779,neutral
330,Ari Jaakkola,easy effortless accurate long remember stop parking paid vain,5,2019-06-06,4.82,-0.2732,neutral
331,Nemi Susiketo,160e 2 fines app ask saved car used 2 times forgot due human error change vehicle previous parking different previous vehicle remembered complaining fine help tampere registered parking even though proved vehicle question even register anymore nevertheless paid park yes mocha easypark asks every time parked mistake going change,1,2019-06-05,4.82,0.1408,neutral
333,Airi Nousiainen,pay time spend easy add time needed,5,2019-05-31,4.8,0.5647,positive
334,Ville Nurmi,good,4,2019-05-30,4.8,0.4404,neutral
335,Sonja Havukainen,good functional application code qzkl free parking time,5,2019-05-29,4.8,0.7351,positive
337,Rauno Kolehmainen,good,4,2019-05-28,4.8,0.4404,neutral
338,Googlen käyttäjä,works code lgqg 100e parking time 1h free parking anywhere,5,2019-05-27,4.79,0.5106,positive
339,Toni Ollila,easy use really good,5,2019-05-27,4.8,0.7264,positive
341,Sus mamatin,really easy simple use parking nowadays completely stressfree dont look parking machine wonder holes wallet,5,2019-05-25,4.8,0.54,positive
342,miikka lumela,functional easy use,5,2019-05-25,4.8,0.4404,neutral
344,Googlen käyttäjä,easy use,5,2019-05-24,4.8,0.4404,neutral
346,Mika Saari,easy use functional use promotional code 5fwp get 10 parking time,4,2019-05-22,4.8,0.4404,neutral
347,Toni Haavisto,use easy smooth respects,5,2019-05-21,4.8,0.6369,positive
350,Maarit Halsas,really good parking coins parking,5,2019-05-16,4.79,0.1851,neutral
351,Mika Huuskonen,easy caring,5,2019-05-16,4.8,0.7269,positive
355,Mikko Hatakka,nice easy,5,2019-05-14,4.8,0.6956,positive
357,Markus R,fast,5,2019-05-11,4.8,0.0,neutral
359,Timo Hiekkanen,really good program,5,2019-05-09,4.8,0.4927,neutral
361,Merja Hakala,easy functional,4,2019-05-08,4.79,0.4404,neutral
362,Jutta L,clever clear functional negative say,5,2019-05-08,4.8,0.8224,positive
363,Sari Laats,t9xy code 10 free parking time,5,2019-05-07,4.8,0.5106,positive
364,Aarno Ekqvist,convenient use clear interface,4,2019-05-04,4.8,0.3818,neutral
366,Googlen käyttäjä,free parking money kvnc code,5,2019-05-01,4.8,0.5106,positive
368,MN Valkama,10 free parking someone 2cv9,4,2019-04-17,4.8,0.5106,positive
371,Kati Lång,easy secure,5,2019-04-08,4.79,0.6486,positive
372,Asta 85,instruction vague apparently charged week much charge even got discount code promised free parking otherwise train station principle speed parking practice caused unnecessary annoyance checked information advance havent received response email call didnt go time either,1,2019-04-07,4.79,-0.2223,neutral
375,Jari Sorvoja,fire came downloading soon able try looks good reading reviews hopefully really promotional code fjsl get 10e parking first time free,5,2019-04-06,4.79,0.7579,positive
376,Matti Moilanen,good works,5,2019-04-05,4.79,0.4404,neutral
377,Jouni Pyy,wellfunctioning app pay time need easy watch parkman app whether parking paid price still get 10e free use code 9k7b,5,2019-04-04,4.79,0.8207,positive
379,Antti Sipilä,free using code hfnh,5,2019-04-01,4.79,0.5106,positive
381,Marjo Kiukas,easy,5,2019-04-01,4.77,0.4404,neutral
382,Janne,finding parking space well comparing parking prices easily done browsing map,5,2019-04-01,4.79,0.5423,positive
385,Jan Berschewsky,good,5,2019-03-29,4.79,0.4404,neutral
387,Jenna Loponen,works well promotional code 10 free parking time lt5u,5,2019-03-22,4.79,0.886,positive
388,Googlen käyttäjä,functional system good service,5,2019-03-22,4.79,0.4404,neutral
389,Alf Lindström,easy natural use often find parking information,4,2019-03-20,4.79,0.6597,positive
390,Leena Haakana,easy use,5,2019-03-20,4.79,0.4404,neutral
391,Topi Kovanen,good,5,2019-03-20,4.79,0.4404,neutral
395,Jouni Ruohonen,worked flawlessly easy use need worry running parking time inject far enough add time needed charge time spent,5,2019-03-15,4.77,-0.3818,neutral
399,Pekka Ketola,easy fast use,5,2019-03-14,4.79,0.4404,neutral
400,Esa Koskelainen,app running smoothly stopped finding location report network error even though network good,1,2019-03-13,4.79,-0.2481,neutral
401,Tarja Niemeläinen,really easy clear received quick response customer service,5,2019-03-11,4.79,0.7233,positive
403,Markku Hyttinen,system fast comfortable use,5,2019-03-06,4.79,0.5106,positive
404,Pekka Savolainen,good,5,2019-03-06,4.05,0.4404,neutral
405,Sakari Laine,app easy use definitely recommend,5,2019-03-06,4.79,0.8122,positive
407,Googlen käyttäjä,unclear instructions renew credit card date open application store logo,2,2019-03-03,4.78,0.1531,neutral
408,Niko,download parkman get 10 free parking money code tkuz,5,2019-03-01,4.78,0.5562,positive
409,Michel Ben-David,really easy use,5,2019-02-28,4.78,0.4927,neutral
414,Googlen käyttäjä,good,5,2019-02-18,4.77,0.4927,neutral
416,Googlen käyttäjä,easy cheap good,5,2019-02-15,4.77,0.7003,positive
417,Laura Toivakka,positioning slight inconvenience use definitely worth little effort way code 1zvk get 10 worth parking first use,5,2019-02-14,4.77,0.7681,positive
419,Hulya Toprak Tokgoz,promotional code kxjg register get 10 discount,5,2019-02-12,4.75,0.0,neutral
420,Googlen käyttäjä,code splk 10 free parking time,4,2019-02-09,4.75,0.5562,positive
422,Harri Sirola,pretty ok weird thing cant make settings anything new app menu corner ps found albeit confusing place,3,2019-01-29,4.75,-0.1531,neutral
423,Jeri Aalto,great app code 1bhf 10 parking free shows vacancies good help finding place often cheaper competing easypark,5,2019-01-23,4.7,0.9186,positive
424,Googlen käyttäjä,good clear use code wg9r 10 free parking money,5,2019-01-21,4.66,0.8316,positive
425,Jouko Kivistö,works parking fees gone clearly less money spread widely,5,2019-01-21,4.66,0.4019,neutral
428,kimmoooo,easy code 82b5 10 without parking time,5,2019-01-18,4.66,0.4404,neutral
430,Jari Tikkanen,code 10 free parking time 63l7,4,2019-01-15,4.66,0.5106,positive
436,Googlen käyttäjä,free parking time 2kwm code quite qualified quick experiment,4,2019-01-01,4.65,0.5106,positive
437,Matti Kukkasjärvi,hzhf free parking code,4,2018-12-27,4.534,0.5106,positive
438,Sari Kinnunen,worked great past apparently come update since last use months ago get stuck looking location even caught wifi parked yesterday install another app didnt work hopefully fix,1,2018-12-21,4.534,0.7003,positive
440,Googlen käyttäjä,works well put code y3ku get 10 stop free stop times,3,2018-12-12,4.534,0.3164,neutral
442,Marja Korhonen,never change,5,2018-12-10,4.534,0.0,neutral
443,markku nieminen,code d3h5 get 10 parking time,4,2018-12-05,4.534,0.0,neutral
444,Erika Piipponenvhhvm,code 56lr get 10 free parking time,5,2018-12-01,4.534,0.5106,positive
446,Markus Rasalahti,works 10 free parking time code q5y8,4,2018-11-13,4.533,0.5106,positive
447,Ytuser Sumone,incomplete product description commission taken parkman explained,3,2018-11-11,4.533,0.0,neutral
449,Mikko Humppi,eevrq code get first parking free max 10,4,2018-11-09,4.533,0.5106,positive
452,Googlen käyttäjä,free parking money code g5e2 works,5,2018-10-31,4.531,0.5106,positive
453,Googlen käyttäjä,works exactly easy fast,5,2018-10-28,4.531,0.4926,neutral
454,Samuli Niskala,working application putting promotional code r25d get 10e free parking,5,2018-10-25,4.531,0.5106,positive
456,Anssi Ruonakoski,works well enter promotion code pmtn get 10e front parking money,4,2018-10-12,4.11,0.3382,neutral
457,Tiia I.,code kxpv get 10 free parking time,4,2018-10-09,4.11,0.5562,positive
458,Janne Mäkelä,code 1ud9 10e free parking time first parking,5,2018-10-06,4.11,0.5106,positive
459,Ville Lehtonen,free parking time code 5ry9,5,2018-10-04,4.11,0.5106,positive
460,Timo Peltoaho,enter code ge2g get 10 parking money,4,2018-10-02,4.11,0.0,neutral
463,Googlen käyttäjä,works enter code xh7l get 10 free parking time,4,2018-09-24,4.11,0.5106,positive
465,Roy Lindström,good app lqfa code 10 parking money used,5,2018-09-10,4.05,0.4404,neutral
466,Ilmari Svens,code dcmt free parking time,5,2018-09-06,4.05,0.5106,positive
469,Marko Hakkarainen,easy fast even changing credit card number easy free parking time 10 code hjk1,5,2018-09-03,4.1,0.9001,positive
471,Walle Wattunen,code ksep get 10 front parking time 65 application,5,2018-08-28,4.05,0.0,neutral
472,julia hirvelä,code rdqn 10 free parking time,4,2018-08-23,4.05,0.8519,positive
473,Teemu Mäkiaho,weve used long time found good apparently 10 come using code h4l7 registering,4,2018-08-23,4.05,0.4926,neutral
475,Juuso,join code zmzb 10 free parking time,4,2018-08-20,4.05,0.6705,positive
477,Googlen käyttäjä,seems work well get free parking value codetsgn,5,2018-08-11,4.05,0.7783,positive
481,Googlen käyttäjä,good app discount code 99e2q,4,2018-08-03,4.05,0.4404,neutral
482,Googlen käyttäjä,worth downloading advantage see place somethingbecoming vacant recommend code 1ygg get 10 worthparking gift card,4,2018-08-03,4.05,0.8353,positive
484,Sanni Lamberg,code vh4u get 10e air parking money,3,2018-07-31,4.05,0.0,neutral
486,Googlen käyttäjä,good app 10e parking money code a742,5,2018-07-29,4.05,0.4404,neutral
487,Googlen käyttäjä,app works great recommend code d3lj get 10 frontfree parking,4,2018-07-26,4.05,0.8011,positive
491,Mikael Leppänen,convenient application code x7g7 free parking time front 10,4,2018-07-12,4.05,0.5106,positive
492,Sofian matkassa,code 2m3k get 10 free parking time,4,2018-07-08,4.05,0.5106,positive
493,Googlen käyttäjä,code 8ar2 20 parking money anyway top app leastin helsinki,5,2018-07-08,4.05,0.3365,neutral
494,Juha Alitalo,av2x 10 parking money good app,4,2018-07-06,4.05,0.4404,neutral
496,Stefan Ekblad,convenient application 10 free parking money bffp code,4,2018-07-05,4.05,0.5562,positive
497,Jussi Ruuskanen,qj85 code parking money good app,5,2018-07-03,4.05,0.5399,positive
498,Janne Tamminen,great app jj2w code another 10 free parking,4,2018-07-03,4.05,0.8268,positive
501,Sami Vironen,free parking time qeec code,5,2018-06-11,4.04,0.5562,positive
504,Jussi Saikkonen,works well free parking time code ayln,4,2018-06-07,4.04,0.69,positive
507,Niko Kosunen,b3hh code total 20 front free parking time handyapplication longer hunt payment terminals,5,2018-05-31,4.04,0.3382,neutral
511,Googlen käyttäjä,app good doesnt make shortcut weakensusability significantly,2,2018-05-22,4.03,0.2724,neutral
512,Olli Valenko,easy effortless,5,2018-05-21,4.03,0.4927,neutral
513,Googlen käyttäjä,otherwise good update icon disappeared front page howwill get back use competing app bothering tradethrough apply,2,2018-05-19,4.02,0.3348,neutral
514,Googlen käyttäjä,new update app open honor 8 map template notwill appear,1,2018-05-18,4.02,0.2732,neutral
515,Jussi Rosenberg,best 10 free code lkff,5,2018-05-18,4.02,0.8176,positive
516,Jukka Vuorinen,doesnt open flash android 70,1,2018-05-17,3.51,0.0,neutral
